class,stage,n_samples,ssim,psnr_dB,ms_ssim,lpips,sfid,wasserstein
MEL,normalized,100,0.3556,15.24,0.5325,0.3062,166.99,0.044467
MEL,denoised,100,0.3748,16.32,0.5448,0.2828,166.61,0.062572
BCC,normalized,100,0.4151,18.19,0.5332,0.2976,146.06,0.028014
BCC,denoised,100,0.4454,19.0,0.5578,0.2811,149.11,0.04263
AKIEC,normalized,100,0.3003,17.11,0.4654,0.3079,147.76,0.035497
AKIEC,denoised,100,0.3497,18.25,0.5018,0.2829,143.27,0.042859
BKL,normalized,100,0.3739,16.82,0.5334,0.3039,166.5,0.035586
BKL,denoised,100,0.4167,18.2,0.5601,0.2688,160.49,0.044996
DF,normalized,100,0.4436,17.52,0.576,0.2373,151.99,0.030557
DF,denoised,100,0.4692,19.21,0.5985,0.2133,153.35,0.043405
VASC,normalized,100,0.5685,16.97,0.7019,0.2461,158.05,0.024213
VASC,denoised,100,0.586,17.95,0.7208,0.211,162.72,0.040827
